1,Oct-18,https://www.afilmywap.surf/movie/1711/october-2018.html, DVDRip,https://www.afilmywap.surf//files/images/thumb_October_2018.jpg
2,  Kung Fu Panda (2008) Hindi Dubbed Movie,https://www.afilmywap.surf/movie/1498/-kung-fu-panda-(2008)-hindi-dubbed-movie.html, BlueRay,https://www.afilmywap.surf//files/images/thumb___Kung_Fu_Panda_(2008)_Hindi_Dubbed_Movie.jpg
3, 376 D (2020) Hindi Full Movies,https://www.afilmywap.surf/movie/7311/-376-d-(2020)-hindi-full-movies.html, HDRip,https://www.afilmywap.surf//files/images/thumb__376_D_(2020)_Hindi_Full_Movies.jpg
4, A Million Ways to Die in the West (2014) Hindi Dubbed Movie,https://www.afilmywap.surf/movie/7012/-a-million-ways-to-die-in-the-west-(2014)-hindi-dubbed-movie.html, BluRay,https://www.afilmywap.surf//files/images/thumb__A_Million_Ways_to_Die_in_the_West_(2014)_Hindi_Dubbed_Movie.jpg
5, Aaj Ka Mawali (Kalicharan) (2018) Hindi Dubbed Movie,https://www.afilmywap.surf/movie/2473/-aaj-ka-mawali-(kalicharan)-(2018)-hindi-dubbed-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Aaj_Ka_Mawali_(Kalicharan)_(2018)_Hindi_Dubbed_Movie.jpg
6, Aashiqui 3 (2018) Hindi Dubbed Movie,https://www.afilmywap.surf/movie/1022/-aashiqui-3-(2018)-hindi-dubbed-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Aashiqui_3_(2018)_Hindi_Dubbed_Movie.jpg
7, Ab Tak Chhappan (2004) Hindi Movie,https://www.afilmywap.surf/movie/793/-ab-tak-chhappan-(2004)-hindi-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Ab_Tak_Chhappan_(2004)_Hindi_Movie.jpg
8, Acts of Violence (2018) English Movie,https://www.afilmywap.surf/movie/708/-acts-of-violence-(2018)-english-movie.html, WEB-DL,https://www.afilmywap.surf//files/images/thumb__Acts_of_Violence_(2018)_English_Movie.jpg
9, Alien Xmas (2020) Hindi Dubbed Movie,https://www.afilmywap.surf/movie/7590/-alien-xmas-(2020)-hindi-dubbed-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Alien_Xmas_(2020)_Hindi_Dubbed_Movie.jpg
10, Amazon Adventure (2018) Hindi Movie,https://www.afilmywap.surf/movie/715/-amazon-adventure-(2018)-hindi-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Amazon_Adventure_(2018)_Hindi_Movie.jpg
11, Anando Brahma (2017) UNCUT Hindi Dubbed Movie,https://www.afilmywap.surf/movie/1894/-anando-brahma-(2017)-uncut-hindi-dubbed-movie.html, HDRip,https://www.afilmywap.surf//files/images/thumb__Anando_Brahma_(2017)_UNCUT_Hindi_Dubbed_Movie.jpg
12, Ant-Man (2015) Dual Audio Hindi Dubbed Movie,https://www.afilmywap.surf/movie/826/-ant-man-(2015)-dual-audio-hindi-dubbed-movie.html, BlueRay,https://www.afilmywap.surf//files/images/thumb__Ant-Man_(2015)_Dual_Audio_Hindi_Dubbed_Movie.jpg
13, AntMan and the Wasp (2018) English Full Movies,https://www.afilmywap.surf/movie/1788/-antman-and-the-wasp-(2018)-english-full-movies.html, HDCam,https://www.afilmywap.surf//files/images/thumb__AntMan_and_the_Wasp_(2018)_English_Full_Movies.jpg
14, Avengers: Endgame (2019) English Full Movie,https://www.afilmywap.surf/movie/3662/-avengers:-endgame-(2019)-english-full-movie.html, HDCam,https://www.afilmywap.surf//files/images/thumb__Avengers:_Endgame_(2019)_English_Full_Movie.jpg
15, Borg vs McEnroe (2017) English Movie ,https://www.afilmywap.surf/movie/679/-borg-vs-mcenroe-(2017)-english-movie-.html, WEB-DL,https://www.afilmywap.surf//files/images/thumb__Borg_vs_McEnroe_(2017)_English_Movie_.jpg
16, Brawl in Cell Block 99 (2017) English Movie,https://www.afilmywap.surf/movie/580/-brawl-in-cell-block-99-(2017)-english-movie.html, BRRip,https://www.afilmywap.surf//files/images/thumb__Brawl_in_Cell_Block_99_(2017)_English_Movie.jpg
